NR_OMRAD,värdeår 1929,värdeår 1960,värdeår 1970,värdeår 1980,värdeår 1990,värdeår 2000,värdeår 2010,värdeår 2016
1214004,800,850,900,1000,1100,1200,1350,1450
1230002,600,675,700,750,800,900,1000,1250
1230003,600,675,700,750,800,900,1000,1250
1230004,800,850,900,1000,1100,1200,1350,1450
1231002,600,675,700,750,800,900,1000,1250
1231004,950,1050,1150,1250,1300,1400,1550,1700
1231006,800,850,900,1000,1100,1200,1350,1450
1231008,600,675,700,750,800,900,1000,1250
1233002,600,675,700,750,800,900,1000,1250
1233004,800,850,900,1000,1100,1200,1350,1450
1233006,800,850,900,1000,1100,1200,1350,1450
1256002,600,650,700,750,800,850,900,1100
1257002,600,650,700,750,800,850,900,1100
1257004,700,750,800,900,1000,1100,1200,1400
1257006,700,750,800,900,1000,1100,1200,1400
1260002,600,675,700,750,800,900,1000,1250
1260004,800,850,900,1000,1100,1200,1350,1450
1260006,600,675,700,750,800,900,1000,1250
1260008,600,675,700,750,800,900,1000,1250
1261002,600,675,700,750,800,900,1000,1250
1261004,800,850,900,1000,1100,1200,1350,1450
1261006,800,850,900,1000,1100,1200,1350,1450
1261008,800,850,900,1000,1100,1200,1350,1450
1262002,600,675,700,750,800,900,1000,1250
1262004,800,850,900,1000,1100,1200,1350,1450
1262006,800,850,900,1000,1100,1200,1350,1450
1263002,600,675,700,750,800,900,1000,1250
1263004,800,850,900,1000,1100,1200,1350,1450
1264002,600,675,700,750,800,900,1000,1250
1264004,600,675,700,750,800,900,1000,1250
1265002,600,675,700,750,800,900,1000,1250
1265004,600,675,700,750,800,900,1000,1250
1265006,800,850,900,1000,1100,1200,1350,1450
1266002,600,675,700,750,800,900,1000,1250
1266004,600,675,700,750,800,900,1000,1250
1266006,800,850,900,1000,1100,1200,1350,1450
1267002,600,675,700,750,800,900,1000,1250
1267004,600,675,700,750,800,900,1000,1250
1267006,800,850,900,1000,1100,1200,1350,1450
1270002,600,650,700,750,800,850,900,1100
1270004,700,750,800,900,1000,1100,1200,1400
1272002,600,650,700,750,800,850,900,1100
1272004,700,750,800,900,1000,1100,1200,1400
1272006,700,750,800,900,1000,1100,1200,1400
1273002,600,650,700,750,800,850,900,1100
1273004,700,750,800,900,1000,1100,1200,1400
1273006,700,750,800,900,1000,1100,1200,1400
1275002,600,650,700,750,800,850,900,1100
1275004,700,750,800,900,1000,1100,1200,1400
1275006,700,750,800,900,1000,1100,1200,1400
1276002,600,650,700,750,800,850,900,1100
1276004,700,750,800,900,1000,1100,1200,1400
1276006,700,750,800,900,1000,1100,1200,1400
1277002,600,675,700,750,800,900,1000,1250
1277004,700,750,800,900,1000,1100,1200,1400
1277006,700,750,800,900,1000,1100,1200,1400
1277008,700,750,800,900,1000,1100,1200,1400
1277010,700,750,800,900,1000,1100,1200,1400
1278002,600,675,700,750,800,900,1000,1250
1278004,700,750,800,900,1000,1100,1200,1400
1278006,700,750,800,900,1000,1100,1200,1400
1278008,900,950,1050,1100,1250,1350,1450,1550
1278010,900,950,1050,1100,1250,1350,1450,1550
1280002,950,1050,1150,1250,1300,1400,1550,1700
1280003,950,1050,1150,1250,1300,1400,1550,1700
1280004,950,1050,1150,1250,1300,1400,1550,1700
1280005,950,1050,1150,1250,1300,1400,1550,1700
1280006,950,1050,1150,1250,1300,1400,1550,1700
1280008,950,1050,1150,1250,1300,1400,1550,1700
1280010,1000,1050,1100,1150,1250,1400,1600,1750
1280012,1000,1050,1100,1150,1250,1400,1600,1750
1280014,1500,1600,1700,1800,1900,2000,2200,2400
1280016,1600,1700,1800,1900,2000,2200,2400,2600
1280018,1700,1800,1900,2000,2200,2400,2600,3000
1280020,1500,1600,1700,1800,1900,2000,2200,2400
1280022,1600,1700,1800,1900,2000,2200,2400,2600
1280024,1500,1600,1700,1800,1900,2000,2200,2400
1280026,1500,1600,1700,1800,1900,2000,2200,2400
1280030,1600,1700,1800,1900,2000,2200,2400,2600
1280031,1700,1800,1900,2000,2200,2400,2600,3000
1281002,600,675,700,750,800,900,1000,1250
1281004,800,850,900,1000,1100,1200,1350,1450
1281006,800,850,900,1000,1100,1200,1350,1450
1281008,800,850,900,1000,1100,1200,1350,1450
1281010,800,850,900,1000,1100,1200,1350,1450
1281016,950,1050,1150,1250,1300,1400,1550,1700
1281018,950,1050,1150,1250,1300,1400,1550,1700
1281020,1000,1050,1100,1150,1250,1400,1600,1750
1281022,1500,1600,1700,1800,1900,2000,2200,2400
1281023,950,1050,1150,1250,1300,1400,1550,1700
1281024,1500,1600,1700,1800,1900,2000,2200,2400
1281026,1500,1600,1700,1800,1900,2000,2200,2400
1281028,1500,1600,1700,1800,1900,2000,2200,2400
1282002,600,675,700,750,800,900,1000,1250
1282004,800,850,900,1000,1100,1200,1350,1450
1282006,800,850,900,1000,1100,1200,1350,1450
1282008,950,1050,1150,1250,1300,1400,1550,1700
1282010,950,1050,1150,1250,1300,1400,1550,1700
1282011,950,1050,1150,1250,1300,1400,1550,1700
1282012,1000,1050,1100,1150,1250,1400,1600,1750
1283002,600,675,700,750,800,900,1000,1250
1283004,600,675,700,750,800,900,1000,1250
1283006,600,675,700,750,800,900,1000,1250
1283008,950,1050,1150,1250,1300,1400,1550,1700
1283010,950,1050,1150,1250,1300,1400,1550,1700
1283012,950,1050,1150,1250,1300,1400,1550,1700
1283013,950,1050,1150,1250,1300,1400,1550,1700
1283014,950,1050,1150,1250,1300,1400,1550,1700
1283016,1500,1600,1700,1800,1900,2000,2200,2400
1283017,1500,1600,1700,1800,1900,2000,2200,2400
1283018,1500,1600,1700,1800,1900,2000,2200,2400
1283020,1000,1050,1100,1150,1250,1400,1600,1750
1283022,1500,1600,1700,1800,1900,2000,2200,2400
1283024,800,850,900,1000,1100,1200,1350,1450
1283026,950,1050,1150,1250,1300,1400,1550,1700
1283028,950,1050,1150,1250,1300,1400,1550,1700
1283030,950,1050,1150,1250,1300,1400,1550,1700
1283032,800,850,900,1000,1100,1200,1350,1450
1283034,950,1050,1150,1250,1300,1400,1550,1700
1283036,800,850,900,1000,1100,1200,1350,1450
1284002,600,675,700,750,800,900,1000,1250
1284004,800,850,900,1000,1100,1200,1350,1450
1284006,950,1050,1150,1250,1300,1400,1550,1700
1284008,800,850,900,1000,1100,1200,1350,1450
1285002,600,675,700,750,800,900,1000,1250
1285004,600,675,700,750,800,900,1000,1250
1285006,800,850,900,1000,1100,1200,1350,1450
1285008,950,1050,1150,1250,1300,1400,1550,1700
1286002,600,675,700,750,800,900,1000,1250
1286004,800,850,900,1000,1100,1200,1350,1450
1286008,800,850,900,1000,1100,1200,1350,1450
1286010,950,1050,1150,1250,1300,1400,1550,1700
1286012,950,1050,1150,1250,1300,1400,1550,1700
1286014,950,1050,1150,1250,1300,1400,1550,1700
1286016,1000,1050,1100,1150,1250,1400,1600,1750
1286018,950,1050,1150,1250,1300,1400,1550,1700
1287002,600,675,700,750,800,900,1000,1250
1287004,800,850,900,1000,1100,1200,1350,1450
1287006,950,1050,1150,1250,1300,1400,1550,1700
1287008,800,850,900,1000,1100,1200,1350,1450
1287010,1000,1050,1100,1150,1250,1400,1600,1750
1287012,800,850,900,1000,1100,1200,1350,1450
1290002,600,650,700,750,800,850,900,1100
1290006,700,750,800,900,1000,1100,1200,1400
1290008,900,950,1050,1100,1250,1350,1450,1550
1290016,700,750,800,900,1000,1100,1200,1400
1290020,700,750,800,900,1000,1100,1200,1400
1290023,700,750,800,900,1000,1100,1200,1400
1290024,900,950,1050,1100,1250,1350,1450,1550
1290026,1000,1050,1100,1150,1250,1400,1600,1750
1290028,1000,1050,1100,1150,1250,1400,1600,1750
1290030,900,950,1050,1100,1250,1350,1450,1550
1290032,900,950,1050,1100,1250,1350,1450,1550
1291002,600,650,700,750,800,850,900,1100
1291004,700,750,800,900,1000,1100,1200,1400
1291006,900,950,1050,1100,1250,1350,1450,1550
1292002,600,675,700,750,800,900,1000,1250
1292004,900,950,1050,1100,1250,1350,1450,1550
1292006,1000,1050,1100,1150,1250,1400,1600,1750
1292008,1000,1050,1100,1150,1250,1400,1600,1750
1292010,900,950,1050,1100,1250,1350,1450,1550
1292012,700,750,800,900,1000,1100,1200,1400
1293002,600,650,700,750,800,850,900,1100
1293004,700,750,800,900,1000,1100,1200,1400
1293006,900,950,1050,1100,1250,1350,1450,1550
1293008,900,950,1050,1100,1250,1350,1450,1550
1293012,700,750,800,900,1000,1100,1200,1400
1315052,500,525,550,575,625,750,800,1225
1315054,500,525,575,625,700,750,825,1250
1315055,500,525,575,625,700,750,825,1250
1315056,500,525,575,625,700,750,825,1250
1315058,500,525,575,625,700,750,825,1250
1315060,500,525,575,625,700,750,825,1250
1315062,500,525,575,625,700,750,825,1250
1380064,625,675,700,725,775,850,975,1300
1380066,650,675,700,725,800,850,925,1350
1380068,650,675,700,725,800,850,925,1350
1380070,650,675,700,725,800,850,925,1350
1380072,625,675,700,725,775,850,975,1300
1380074,650,675,700,725,800,850,925,1350
1380076,625,675,700,725,775,850,975,1300
1380078,650,675,700,725,800,850,925,1350
1380080,625,675,700,725,775,850,975,1300
1380082,625,675,700,725,775,850,975,1300
1380085,700,800,850,900,975,1125,1225,1600
1380086,700,800,850,900,975,1125,1225,1600
1380087,700,800,850,900,975,1125,1225,1600
1380088,900,950,1000,1050,1125,1175,1375,1700
1380089,900,950,1000,1050,1125,1175,1375,1700
1380090,950,1000,1125,1150,1225,1275,1475,1850
1380092,700,800,850,900,975,1125,1225,1600
1380096,625,675,700,725,775,850,975,1300
1380098,625,675,700,725,775,850,975,1300
1380130,500,525,550,575,625,750,800,1225
1381100,625,675,700,725,775,850,975,1300
1381102,650,675,700,725,800,850,925,1350
1381104,650,675,700,725,800,850,925,1350
1381106,650,675,700,725,800,850,925,1350
1381108,650,675,700,725,800,850,925,1350
1381110,700,800,850,900,975,1125,1225,1600
1381112,700,800,850,900,975,1125,1225,1600
1381114,700,800,850,900,975,1125,1225,1600
1381116,625,675,700,725,775,850,975,1300
1381118,650,675,700,725,800,850,925,1350
1381120,625,675,700,725,775,850,975,1300
1381122,650,675,700,725,800,850,925,1350
1381124,650,675,700,725,800,850,925,1350
1381132,500,525,550,575,625,750,800,1225
1382036,625,675,700,725,775,850,975,1300
1382037,700,800,850,900,975,1125,1225,1600
1382038,625,700,750,850,950,1100,1225,1475
1382040,650,675,700,725,800,850,925,1350
1382042,700,800,850,900,975,1125,1225,1600
1382044,700,800,850,900,975,1125,1225,1600
1382046,900,950,1000,1050,1125,1175,1375,1700
1382047,900,950,1000,1050,1125,1175,1375,1700
1382048,625,675,700,725,775,850,975,1300
1382050,625,675,700,725,775,850,975,1300
1382128,500,525,550,575,625,750,800,1225
1383022,625,675,700,725,775,850,975,1300
1383024,650,675,700,725,800,850,925,1350
1383026,700,800,850,900,975,1125,1225,1600
1383028,625,700,750,850,950,1100,1225,1475
1383030,950,1000,1100,1150,1225,1275,1475,1800
1383032,625,675,700,725,775,850,975,1300
1383034,625,675,700,725,775,850,975,1300
1383038,625,675,700,725,775,850,975,1300
1383126,500,525,550,575,625,750,800,1225
1384002,700,800,850,900,975,1125,1225,1600
1384004,700,800,850,900,975,1125,1225,1600
1384006,700,800,850,900,975,1125,1225,1600
1384010,900,950,1000,1050,1125,1175,1375,1700
1384011,900,950,1000,1050,1125,1175,1375,1700
1384012,950,1000,1100,1250,1375,1425,1525,1700
1384013,900,950,1000,1050,1125,1175,1375,1700
1384014,700,800,850,900,975,1125,1225,1600
1384016,700,800,850,900,975,1125,1225,1600
1384020,625,675,700,725,775,850,975,1300
1384134,700,800,850,900,975,1125,1225,1600
1384135,700,800,850,900,975,1125,1225,1600
1401162,850,950,1000,1000,1050,1200,1200,1250
1401164,950,1000,1100,1200,1350,1400,1500,1700
1401166,950,1000,1100,1200,1350,1400,1500,1700
1401168,850,950,1000,1000,1050,1200,1200,1250
1401169,700,750,825,875,925,975,1025,1150
1401171,950,1000,1100,1200,1350,1400,1500,1700
1401172,700,750,825,875,925,975,1025,1150
1401173,650,675,725,800,825,875,975,1050
1402172,900,950,1050,1100,1150,1250,1350,1450
1402174,950,1000,1050,1100,1300,1350,1450,1600
1402176,950,1000,1100,1200,1350,1400,1500,1700
1402177,950,1000,1100,1200,1350,1400,1500,1700
1402178,900,950,1050,1100,1150,1250,1350,1450
1402179,850,950,1000,1000,1050,1200,1200,1250
1402180,700,750,825,875,925,975,1025,1150
1402900,900,950,1050,1100,1150,1250,1350,1450
1407047,950,1000,1050,1100,1300,1350,1450,1600
1407048,950,1000,1050,1100,1300,1350,1450,1600
1415036,525,550,600,650,700,750,850,1050
1415038,850,950,1000,1000,1050,1200,1200,1250
1415040,950,1000,1050,1100,1300,1350,1450,1600
1415042,525,550,600,650,700,750,850,1050
1415044,850,950,1000,1000,1050,1200,1200,1250
1419034,650,675,725,800,825,875,975,1050
1419036,850,950,1000,1000,1050,1200,1200,1250
1421032,650,675,725,800,825,875,975,1050
1421034,900,950,1050,1100,1150,1250,1350,1450
1427014,650,675,725,800,825,875,975,1050
1427016,900,950,1050,1100,1150,1250,1350,1450
1430010,650,675,725,800,825,875,975,1050
1430011,525,550,600,650,700,750,850,1050
1430012,525,550,600,650,700,750,850,1050
1435007,900,950,1050,1100,1150,1250,1350,1450
1435008,475,500,550,600,650,750,800,1000
1435009,900,950,1050,1100,1150,1250,1350,1450
1435010,650,675,725,800,825,875,975,1050
1435011,650,675,725,800,825,875,975,1050
1438166,475,500,550,600,650,750,800,1000
1438168,650,700,750,825,875,925,950,1100
1439192,525,550,600,650,700,750,850,1050
1439194,650,675,725,800,825,875,975,1050
1439900,475,500,550,600,650,750,800,1000
1440022,525,550,600,650,700,750,850,1050
1440028,850,950,1000,1000,1050,1200,1200,1250
1440080,850,950,1000,1000,1050,1200,1200,1250
1441030,650,675,725,800,825,875,975,1050
1441032,850,950,1000,1000,1050,1200,1200,1250
1441034,700,750,825,875,925,975,1025,1150
1441036,950,1000,1050,1100,1300,1350,1450,1600
1441042,650,675,725,800,825,875,975,1050
1441044,850,950,1000,1000,1050,1200,1200,1250
1442062,650,675,725,800,825,875,975,1050
1442900,525,550,600,650,700,750,850,1050
1443128,525,550,600,650,700,750,850,1050
1443130,650,675,725,800,825,875,975,1050
1443900,525,550,600,650,700,750,850,1050
1444058,650,675,725,800,825,875,975,1050
1444900,475,500,550,600,650,750,800,1000
1445066,525,550,600,650,700,750,850,1050
1445900,475,500,550,600,650,750,800,1000
1446026,525,550,600,650,700,750,850,1050
1446900,475,500,550,600,650,750,800,1000
1447008,525,550,600,650,700,750,850,1050
1447014,525,550,600,650,700,750,850,1050
1447900,475,500,550,600,650,750,800,1000
1452158,525,550,600,650,700,750,850,1050
1452162,525,550,600,650,700,750,850,1050
1452164,650,675,725,800,825,875,975,1050
1452900,475,500,550,600,650,750,800,1000
1460170,475,500,550,600,650,750,800,1000
1460172,650,700,750,825,875,925,950,1100
1460174,650,700,750,825,875,925,950,1100
1460176,550,600,650,725,800,850,925,1050
1460178,550,600,650,725,800,850,925,1050
1460180,550,600,650,725,800,850,925,1050
1460182,550,600,650,725,800,850,925,1050
1461196,475,500,550,600,650,750,800,1000
1461198,475,500,550,600,650,750,800,1000
1461200,650,675,725,800,825,875,975,1050
1461202,650,675,725,800,825,875,975,1050
1461900,475,500,550,600,650,750,800,1000
1462016,475,500,550,600,650,750,800,1000
1462018,650,675,725,800,825,875,975,1050
1462020,650,675,725,800,825,875,975,1050
1462072,650,675,725,800,825,875,975,1050
1463140,525,550,600,650,700,750,850,1050
1463142,525,550,600,650,700,750,850,1050
1463144,650,675,725,800,825,875,975,1050
1463146,700,750,825,875,925,975,1025,1150
1463148,700,750,825,875,925,975,1025,1150
1463150,525,550,600,650,700,750,850,1050
1463900,525,550,600,650,700,750,850,1050
1465152,525,550,600,650,700,750,850,1050
1465228,650,675,725,800,825,875,975,1050
1465900,475,500,550,600,650,750,800,1000
1466068,525,550,600,650,700,750,850,1050
1466900,475,500,550,600,650,750,800,1000
1470060,525,550,600,650,700,750,850,1050
1470064,650,675,725,800,825,875,975,1050
1470900,525,550,600,650,700,750,850,1050
1471032,650,675,725,800,825,875,975,1050
1471900,475,500,550,600,650,750,800,1000
1472042,650,675,725,800,825,875,975,1050
1472900,475,500,550,600,650,750,800,1000
1473022,525,550,600,650,700,750,850,1050
1473900,475,500,550,600,650,750,800,1000
1473901,475,500,550,600,650,750,800,1000
1480048,950,1000,1050,1100,1300,1350,1450,1600
1480049,950,1000,1050,1100,1300,1350,1450,1600
1480050,700,750,825,875,925,975,1025,1150
1480051,850,950,1000,1000,1050,1200,1200,1250
1480052,850,950,1000,1000,1050,1200,1200,1250
1480053,950,1000,1050,1100,1300,1350,1450,1600
1480054,950,1000,1050,1100,1300,1350,1450,1600
1480055,950,1000,1100,1200,1350,1400,1500,1700
1480056,900,950,1050,1100,1150,1250,1350,1450
1480057,950,1000,1100,1200,1350,1400,1500,1700
1480058,950,1000,1100,1200,1350,1400,1500,1700
1480059,950,1000,1050,1100,1300,1350,1450,1600
1480060,950,1000,1100,1200,1350,1400,1500,1700
1480061,950,1000,1100,1200,1350,1400,1500,1700
1480062,950,1000,1100,1200,1350,1400,1500,1700
1480063,950,1000,1100,1200,1350,1400,1500,1700
1480064,950,1000,1100,1200,1350,1400,1500,1700
1480066,1050,1100,1200,1400,1600,1650,1850,2200
1480067,1350,1400,1600,1750,1900,2150,2200,2550
1480068,1050,1100,1200,1400,1600,1650,1850,2200
1480069,1650,1850,2000,2150,2300,2650,2800,3000
1480070,1350,1400,1600,1750,1900,2150,2200,2550
1480072,1050,1100,1200,1400,1600,1650,1850,2200
1480074,950,1000,1050,1100,1300,1350,1450,1600
1480076,1050,1100,1200,1400,1600,1650,1850,2200
1480078,950,1000,1050,1100,1300,1350,1450,1600
1480082,1050,1100,1200,1400,1600,1650,1850,2200
1480084,950,1000,1050,1100,1300,1350,1450,1600
1480085,1050,1100,1200,1400,1600,1650,1850,2200
1480086,950,1000,1050,1100,1300,1350,1450,1600
1480088,950,1000,1050,1100,1300,1350,1450,1600
1480090,950,1000,1050,1100,1300,1350,1450,1600
1480092,950,1000,1050,1100,1300,1350,1450,1600
1480094,950,1000,1050,1100,1300,1350,1450,1600
1480098,2150,2250,2400,2500,2750,2950,3150,3300
1480102,950,1000,1050,1100,1300,1350,1450,1600
1480106,1050,1100,1200,1400,1600,1650,1850,2200
1480108,1350,1400,1600,1750,1900,2150,2200,2550
1480110,1350,1400,1600,1750,1900,2150,2200,2550
1480112,1350,1400,1600,1750,1900,2150,2200,2550
1480114,1650,1850,2000,2150,2300,2650,2800,3000
1480115,2150,2250,2400,2500,2750,2950,3150,3300
1480116,1650,1850,2000,2150,2300,2650,2800,3000
1480117,1350,1400,1600,1750,1900,2150,2200,2550
1480118,1650,1850,2000,2150,2300,2650,2800,3000
1480119,2300,2350,2600,2750,2850,3100,3300,3600
1480120,2300,2350,2600,2750,2850,3100,3300,3600
1480122,2150,2250,2400,2500,2750,2950,3150,3300
1480123,2150,2250,2400,2500,2750,2950,3150,3300
1480124,2150,2250,2400,2500,2750,2950,3150,3300
1480125,2150,2250,2400,2500,2750,2950,3150,3300
1480126,1650,1850,2000,2150,2300,2650,2800,3000
1480128,1350,1400,1600,1750,1900,2150,2200,2550
1480130,1650,1850,2000,2150,2300,2650,2800,3000
1480132,2300,2350,2600,2750,2850,3100,3300,3600
1480134,1650,1850,2000,2150,2300,2650,2800,3000
1480136,950,1000,1050,1100,1300,1350,1450,1600
1480138,1350,1400,1600,1750,1900,2150,2200,2550
1480139,1050,1100,1200,1400,1600,1650,1850,2200
1480140,950,1000,1050,1100,1300,1350,1450,1600
1480142,950,1000,1050,1100,1300,1350,1450,1600
1480143,1050,1100,1200,1400,1600,1650,1850,2200
1481140,1050,1100,1200,1400,1600,1650,1850,2200
1481142,950,1000,1100,1200,1350,1400,1500,1700
1481144,950,1000,1050,1100,1300,1350,1450,1600
1481146,900,950,1050,1100,1150,1250,1350,1450
1481148,1050,1100,1200,1400,1600,1650,1850,2200
1481150,950,1000,1100,1200,1350,1400,1500,1700
1481152,950,1000,1050,1100,1300,1350,1450,1600
1481154,700,750,825,875,925,975,1025,1150
1481156,900,950,1050,1100,1150,1250,1350,1450
1481158,900,950,1050,1100,1150,1250,1350,1450
1481160,850,950,1000,1000,1050,1200,1200,1250
1482042,650,675,725,800,825,875,975,1050
1482043,950,1000,1050,1100,1300,1350,1450,1600
1482044,850,950,1000,1000,1050,1200,1200,1250
1482045,950,1000,1050,1100,1300,1350,1450,1600
1482046,950,1000,1050,1100,1300,1350,1450,1600
1482047,650,675,725,800,825,875,975,1050
1482048,950,1000,1050,1100,1300,1350,1450,1600
1484016,475,500,550,600,650,750,800,1000
1484017,525,550,600,650,700,750,850,1050
1484018,650,675,725,800,825,875,975,1050
1484020,700,750,825,875,925,975,1025,1150
1484022,700,750,825,875,925,975,1025,1150
1485021,650,675,725,800,825,875,975,1050
1485022,525,550,600,650,700,750,850,1050
1485023,650,675,725,800,825,875,975,1050
1485024,900,950,1050,1100,1150,1250,1350,1450
1485025,900,950,1050,1100,1150,1250,1350,1450
1485026,650,675,725,800,825,875,975,1050
1485028,900,950,1050,1100,1150,1250,1350,1450
1485030,950,1000,1050,1100,1300,1350,1450,1600
1486002,475,500,550,600,650,750,800,1000
1486004,850,950,1000,1000,1050,1200,1200,1250
1486006,900,950,1050,1100,1150,1250,1350,1450
1486007,900,950,1050,1100,1150,1250,1350,1450
1486008,850,950,1000,1000,1050,1200,1200,1250
1486010,850,950,1000,1000,1050,1200,1200,1250
1486012,650,675,725,800,825,875,975,1050
1487206,525,550,600,650,700,750,850,1050
1487208,700,750,825,875,925,975,1025,1150
1487210,700,750,825,875,925,975,1025,1150
1487212,650,675,725,800,825,875,975,1050
1487214,650,675,725,800,825,875,975,1050
1487218,650,675,725,800,825,875,975,1050
1487220,650,675,725,800,825,875,975,1050
1487224,525,550,600,650,700,750,850,1050
1487226,525,550,600,650,700,750,850,1050
1488002,525,550,600,650,700,750,850,1050
1488004,900,950,1050,1100,1150,1250,1350,1450
1488005,900,950,1050,1100,1150,1250,1350,1450
1488006,650,675,725,800,825,875,975,1050
1488008,900,950,1050,1100,1150,1250,1350,1450
1488011,650,675,725,800,825,875,975,1050
1488012,950,1000,1050,1100,1300,1350,1450,1600
1488013,650,675,725,800,825,875,975,1050
1488014,650,675,725,800,825,875,975,1050
1489048,525,550,600,650,700,750,850,1050
1489052,950,1000,1050,1100,1300,1350,1450,1600
1489054,850,950,1000,1000,1050,1200,1200,1250
1489056,525,550,600,650,700,750,850,1050
1489058,650,675,725,800,825,875,975,1050
1490094,650,675,725,800,825,875,975,1050
1490098,850,950,1000,1000,1050,1200,1200,1250
1490100,850,950,1000,1000,1050,1200,1200,1250
1490102,900,950,1050,1100,1150,1250,1350,1450
1490106,900,950,1050,1100,1150,1250,1350,1450
1490108,950,1000,1050,1100,1300,1350,1450,1600
1490109,950,1000,1050,1100,1300,1350,1450,1600
1490110,850,950,1000,1000,1050,1200,1200,1250
1490114,850,950,1000,1000,1050,1200,1200,1250
1490115,850,950,1000,1000,1050,1200,1200,1250
1490117,850,950,1000,1000,1050,1200,1200,1250
1490122,850,950,1000,1000,1050,1200,1200,1250
1490126,650,675,725,800,825,875,975,1050
1490132,650,675,725,800,825,875,975,1050
1490134,650,675,725,800,825,875,975,1050
1490138,525,550,600,650,700,750,850,1050
1490230,650,675,725,800,825,875,975,1050
1490900,525,550,600,650,700,750,850,1050
1491084,525,550,600,650,700,750,850,1050
1491086,650,675,725,800,825,875,975,1050
1491088,650,675,725,800,825,875,975,1050
1491090,700,750,825,875,925,975,1025,1150
1491092,525,550,600,650,700,750,850,1050
1491900,525,550,600,650,700,750,850,1050
1492186,650,700,750,825,875,925,950,1100
1492188,650,700,750,825,875,925,950,1100
1492190,550,600,650,725,800,850,925,1050
1492900,475,500,550,600,650,750,800,1000
1493016,700,750,825,875,925,975,1025,1150
1493018,650,675,725,800,825,875,975,1050
1493900,525,550,600,650,700,750,850,1050
1494036,900,950,1050,1100,1150,1250,1350,1450
1494038,850,950,1000,1000,1050,1200,1200,1250
1494900,525,550,600,650,700,750,850,1050
1495052,700,750,825,875,925,975,1025,1150
1495053,525,550,600,650,700,750,850,1050
1495054,650,675,725,800,825,875,975,1050
1495900,525,550,600,650,700,750,850,1050
1496044,950,1000,1050,1100,1300,1350,1450,1600
1496045,900,950,1050,1100,1150,1250,1350,1450
1496046,950,1000,1050,1100,1300,1350,1450,1600
1496047,900,950,1050,1100,1150,1250,1350,1450
1496048,850,950,1000,1000,1050,1200,1200,1250
1496049,700,750,825,875,925,975,1025,1150
1496050,700,750,825,875,925,975,1025,1150
1496051,700,750,825,875,925,975,1025,1150
1496900,525,550,600,650,700,750,850,1050
1497070,650,675,725,800,825,875,975,1050
1497071,700,750,825,875,925,975,1025,1150
1497900,475,500,550,600,650,750,800,1000
1498074,525,550,600,650,700,750,850,1050
1498900,475,500,550,600,650,750,800,1000
1499068,525,550,600,650,700,750,850,1050
1499076,700,750,825,875,925,975,1025,1150
1499082,650,675,725,800,825,875,975,1050
1499084,525,550,600,650,700,750,850,1050
1499900,525,550,600,650,700,750,850,1050
1715052,550,650,700,750,800,875,975,1000
1715054,650,750,825,875,900,950,1100,1400
1715056,525,650,675,725,750,800,875,950
1730024,525,650,675,725,750,800,875,950
1730026,525,650,675,725,750,800,875,950
1730027,550,650,700,750,800,875,975,1000
1730028,550,650,700,750,800,875,975,1000
1730030,525,650,675,725,750,800,875,950
1730032,550,650,700,750,800,875,975,1000
1730034,525,650,675,725,750,800,875,950
1730036,525,585,600,625,650,750,800,900
1737002,550,650,700,750,800,875,975,1000
1737003,550,650,700,750,800,875,975,1000
1737004,650,750,825,875,900,950,1100,1400
1737006,550,650,700,750,800,875,975,1000
1737007,525,650,675,725,750,800,875,950
1737116,525,585,600,625,650,750,800,900
1760090,525,650,675,725,750,800,875,950
1760091,525,585,600,625,650,750,800,900
1761100,550,650,700,750,800,875,975,1000
1761102,775,825,850,875,950,1325,1350,1450
1761104,525,650,675,725,750,800,875,950
1762016,525,650,675,725,750,800,875,950
1762018,550,650,700,750,800,875,975,1000
1762020,525,585,600,625,650,750,800,900
1763044,525,650,675,725,750,800,875,950
1763046,550,650,700,750,800,875,975,1000
1763048,550,650,700,750,800,875,975,1000
1763050,650,750,825,875,900,950,1100,1400
1763052,525,650,675,725,750,800,875,950
1764062,650,750,825,875,900,950,1100,1400
1764063,650,750,825,875,900,950,1100,1400
1764064,650,750,825,875,900,950,1100,1400
1764066,525,650,675,725,750,800,875,950
1764068,525,650,675,725,750,800,875,950
1764108,525,650,675,725,750,800,875,950
1765056,525,650,675,725,750,800,875,950
1765058,550,650,700,750,800,875,975,1000
1765060,650,750,825,875,900,950,1100,1400
1765062,525,585,600,625,650,750,800,900
1766012,650,750,825,875,900,950,1100,1400
1766014,650,750,825,875,900,950,1100,1400
1766016,525,585,600,625,650,750,800,900
1780067,950,1050,1200,1350,1450,1650,1750,2000
1780069,950,1050,1200,1350,1450,1650,1750,2000
1780070,950,1050,1200,1350,1450,1650,1750,2000
1780072,950,1050,1200,1350,1450,1650,1750,2000
1780074,775,825,850,875,950,1325,1350,1450
1780075,950,1050,1200,1350,1450,1650,1750,2000
1780076,775,825,850,875,950,1325,1350,1450
1780077,775,825,850,875,950,1325,1350,1450
1780078,775,825,850,875,950,1325,1350,1450
1780080,775,825,850,875,950,1325,1350,1450
1780082,525,650,675,725,750,800,875,950
1780084,525,650,675,725,750,800,875,950
1780086,525,650,675,725,750,800,875,950
1780088,525,650,675,725,750,800,875,950
1780090,525,650,675,725,750,800,875,950
1780112,525,650,675,725,750,800,875,950
1781104,650,750,825,875,900,950,1100,1400
